,City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
194,Budapest,Danubius Hotel Arena,"Ifjusag Utja 1-3, Budapest 1148",8.0,"(4,400)",£175total,Booking.com
195,Budapest,Elisabeth Apartment on Váci Street,District V - Belváros-Lipótváros,9.1,(71),£166total,Booking.com
196,Budapest,Danubius Hotel Helia,"Karpat U. 62-64, Budapest 1133",8.3,"(4,545)",£210total,Booking.com
197,Budapest,Hilton Budapest,"Hess A Ter 1-3, Budapest 1014",8.9,"(1,489)",£539total,Booking.com
198,Budapest,Helena apartment with view on St. Stephan's Basilica,District VI - Terézváros,9.3,(56),£202total,Booking.com
199,Edinburgh,Royal Mile Balconies by the Castle,"493 Lawnmarket,The Royal Mile, Edinburgh",8.3,(977),£327total,Booking.com
200,Edinburgh,Leonardo Royal Edinburgh Haymarket,"1 Morrison Link, Edinburgh, EH3 8DN",8.0,"(12,408)",£185total,Hotels.com
201,Edinburgh,The Glasshouse Autograph Collection,"2 Greenside Place, Edinburgh, EH1 3AA",8.9,(714),£457total,Autograph Collection
202,Edinburgh,Braid Apartments by Mansley,New Town,9.3,(585),£307total,Booking.com
203,Edinburgh,"Sheraton Grand Hotel & Spa, Edinburgh","1 Festival Square, Edinburgh, EH3 9SR",8.8,"(2,294)",£613total,Sheraton
204,Edinburgh,Royal Mile Suites by the Castle,"493 Lawnmarket, Old Town, Edinburgh, United Kingdom, Edinburgh, EH1 2PB",8.2,"(1,160)",£352total,Booking.com
205,Edinburgh,Destiny Scotland - St Andrew Square Apartments,New Town,8.8,(848),£255total,Booking.com
206,Edinburgh,"Kimpton Charlotte Square Hotel, An Ihg Hotel","38 Charlotte Square, Edinburgh, EH2 4HQ",9.1,"(2,829)",£640total,Booking.com
207,Edinburgh,Georgian House,"4c Merchiston Crescent Midlothian, Edinburgh, EH10 5AN",9.4,(86),£460total,Booking.com
208,Edinburgh,Quartermile Luxury Apartments,,9.3,(171),£390total,Booking.com
209,New York,Pestana Park Avenue,"23 East 39th Street, New York, NY 10016",8.6,(348),£514total,Booking.com
210,New York,Royalton Park Avenue,"420 Park Avenue South, New York, NY 10016",8.3,(314),£676total,Booking.com
211,New York,The Times Square EDITION,"20 Times Square, 701 7th Avenue, New York, NY 10036",9.0,(853),£976total,Booking.com
212,New York,"Perfectly Located Near Restaurants, Shops & Sites",Hell's Kitchen,8.5,(19),£661total,Booking.com
213,New York,Kimpton Hotel Eventi,"851 Avenue of The Americas, New York, NY 10001",8.5,(721),£827total,Booking.com
214,New York,The Quin Central Park by Hilton Club,"101 West 57th Street at Sixth Avenue, New York, NY 10019",8.2,(509),£707total,Hotels.com
215,New York,Sanctuary NYC Retreats,Lower East Side,9.0,(525),£488total,Hotels.com
216,New York,MOXY NYC Times Square,"485 7th Avenue, New York, NY 10018",8.2,"(11,291)",£415total,Booking.com
217,New York,11 Howard,"11 Howard Street, New York, NY 10013",8.2,(527),£869total,Hotels.com
218,New York,Great Cozy Apt,Harlem,9.7,(3),£623total,Booking.com
